Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b2b6c9dafa989400fb8cc6,68123a73ba06c472ccd5edb8,RETURNED,Not Applicable,2026-03-12T12:51:46.741000Z,,,,,,1618,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd12c40c376ea337971f81,677ac5abfeff92f43b1755ba,RETURNED,Not Applicable,2026-03-20T09:26:31.816000Z,,,,,,1271,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd12cbe8c6ce6d1b741c75,67e406244bfad9999a051c1e,RETURNED,Not Applicable,2026-03-20T09:27:12.594000Z,,,,,,1871,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd13ca3e6de28f542bcaa4,69b7315c3749242874e28210,RETURNED,Not Applicable,2026-03-20T09:37:23.863000Z,2026-03-20T09:42:41.317000Z,,2026-03-20T09:42:41.853000Z,,C14M9CAH,154,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd1422b901e92987b73e27,5edeea354d54cb1a825aa8f9,RETURNED,Not Applicable,2026-03-20T09:32:18.967000Z,,,,,,8659,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd176099d314cd1d0c7aa3,5e909d6c5321c13abee11725,RETURNED,Not Applicable,2026-03-20T09:46:11.883000Z,2026-03-20T09:48:33.842000Z,,2026-03-20T09:48:34.326000Z,,C14M9CAH,6045,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd1812efb0b07e60e303c9,59d665ef03203500011acd8c,RETURNED,Not Applicable,2026-03-20T09:49:10.664000Z,2026-03-20T09:49:44.223000Z,,2026-03-20T09:49:44.705000Z,,C14M9CAH,1381,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd187243e29395367d6b06,67334911eb1de6dd02fc126a,RETURNED,Not Applicable,2026-03-20T09:50:47.367000Z,2026-03-20T09:51:48.926000Z,,2026-03-20T09:51:49.398000Z,,C14M9CAH,4568,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be6ef0b797fc73f81f021d,67e072da6334afcc7043ae4a,RETURNED,Not Applicable,2026-03-21T10:12:25.934000Z,,,,,,1393,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69be6f07cec02ceb504e7914,69a2181610ff25d65c460fc9,RETURNED,Not Applicable,2026-03-21T10:13:20.253000Z,2026-03-21T10:14:14.392000Z,,2026-03-21T10:14:14.928000Z,,C14M9CAH,357,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
